Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.IB10,S.IB10,CBEP2010-IB10,2010,0,Benzo(a)pyrene,50-32-8,6,1,5,ng/g dry,1,NA,NA,Y,2010s,430,1600,ng/g dry,Below ERL
Inner Bay,L.IB10,S.IB10,CBEP2010-IB10,2010,0,Perylene,198-55-0,1.7,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,CBEP2010-IB10,2010,0,"Indeno(1,2,3-cd)pyrene",193-39-5,3.6,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,CBEP2010-IB10,2010,0,"Dibenz(a,h)anthracene",53-70-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,63.4,260,ng/g dry,NA
Inner Bay,L.IB10,S.IB10,CBEP2010-IB10,2010,0,"Benzo(g,h,i)perylene",191-24-2,5.8,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Naphthalene,91-20-3,13.3,1,5,ng/g dry,1,NA,NA,Y,2010s,160,2100,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,2-Methylnaphthalene,91-57-6,11.8,1,5,ng/g dry,1,NA,NA,Y,2010s,70,670,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,1-Methylnaphthalene,90-12-0,7.1,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,"1,1-Biphenyl",92-52-4,2.9,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,"2,6-Dimethylnaphthalene",581-42-0,6,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Acenaphthylene,208-96-8,4.2,1,5,ng/g dry,1,NA,J,Y,2010s,44,640,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Acenaphthene,83-32-9,28.4,1,5,ng/g dry,1,NA,NA,Y,2010s,16,500,ng/g dry,Between ERL and ERM
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,"2,3,5-Trimethylnaphthalene",2245-38-7,2.7,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Fluorene,86-73-7,31.6,1,5,ng/g dry,1,NA,NA,Y,2010s,19,540,ng/g dry,Between ERL and ERM
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Dibenzothiophene,132-65-0,12.9,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Phenanthrene,85-01-8,261,1,5,ng/g dry,1,NA,NA,Y,2010s,240,1500,ng/g dry,Between ERL and ERM
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Anthracene,120-12-7,69.8,1,5,ng/g dry,1,NA,NA,Y,2010s,85.3,1100,ng/g dry,Below ERL
