Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Cape Small,L.CS07,S.CS07,CBEP2010-CS07,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB01,S.EB01,CBEP2010-EB01,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB02,S.EB02,CBEP2010-EB02,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB03T,S.EB03T,CBEP2010-EB03,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB04,S.EB04,CBEP2010-EB04,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB05T,S.EB05T,CBEP2010-EB05,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB06T,S.EB06,CBEP2010-EB06,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB06T2,S.EB06,CBEP2010-EB06R,2011,-1,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB07T,S.EB07,CBEP2010-EB07,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB08T,S.EB08T,CBEP2010-EB08,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
